node_id,chapter_id,source_file,level,heading,heading_path,content
0,BrTr,BrTr.json,1,ব্রায়োফাইটা ও টেরিডোফাইটা,ব্রায়োফাইটা ও টেরিডোফাইটা,"আমরা সারাবছরই কোনো না কোনো গাছে ফুল ফুটতে দেখি। গ্রীষ্মে স্বর্ণচাপা, সোনালু, বর্ষায় কদম, শরৎ-হেমন্তে
শেফালি, শীতে গোলাপ, সূর্যমুখী, ডালিয়া, বসন্তে পলাশ, শিমুল
ইত্যাদি। এসব উদ্ভিদ হলো পুষ্পক উদ্ভিদ (flowering plants).
এদেরকে ফ্যানেরোগ্যামস (phanerogams)ও বলা হয়। আবার অনেক
উদ্ভিদ আছে যাদের কখনোই ফুল হয় না। এসব উদ্ভিদকে বলা হয়
অপুষ্পক উদ্ভিদ (non-flowering plants). এরা ক্রিপ্টোগ্যামস
(cryptogams) নামেও পরিচিত। ব্রায়োফাইটা ও টেরিডোফাইটা গ্রুপের
উদ্ভিদসমূহ হলো অপুষ্পক উদ্ভিদ। পঞ্চম অধ্যায়ে আলোচিত শৈবাল এবং
ছত্রাকও অপুষ্পক উদ্ভিদ। শৈবাল ও ছত্রাক হলো লোয়ার ক্রিপ্টোগ্যামস (lower cryptogams) এবং ব্রায়োফাইটা ও
টেরিডোফাইটা গ্রুপের উদ্ভিদ হলো হায়ার ক্রিপ্টোগ্যামস (higher cryptogams), কারণ এরা গঠনগত বৈশিষ্ট্যে শৈবাল ও
ছত্রাক অপেক্ষা উন্নত ও জটিল প্রকৃতির। এ দু'টোর মধ্যে আবার টেরিডোফাইটা উন্নত। ব্রায়োফাইটা ও টেরিডোফাইটার
মধ্যে বাহ্যিক মৌলিক পার্থক্য হলো ব্রায়োফাইটা উদ্ভিদসমূহকে সত্যিকার মূল, কাণ্ড ও পাতায় বিভক্ত করা যায় না কিন্তু
টেরিডোফাইটা উদ্ভিদসমূহকে সত্যিকার মূল, কাণ্ড ও পাতায় বিভক্ত করা চলে। এছাড়া ব্রায়োফাইটা অভাস্কুলার কিন্তু
টেরিডোফাইটা ভাস্কুলার। অপেক্ষাকৃত কম উন্নত থ্যালোফাইটা (শৈবাল ও ছত্রাক) এবং উন্নত টেরিডোফাইটার মধ্যে
সংযোগ সৃষ্টিকারী মধ্যবর্তীগ্রুপ হলো ব্রায়োফাইটা।

---"
1,BrTr,BrTr.json,2,ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ,"(Gk. Bryon = মস এবং phyton = উদ্ভিদ)

প্রচলিত শ্রেণিবিন্যাস অনুযায়ী ব্রায়োফাইটা একটি বিভাগ। Margulis এর শ্রেণিবিন্যাস অনুযায়ী ব্রায়োফাইটা একটি
গ্রেড এবং ফাইলাম (বিভাগ)। Wallace, Sanders ও Ferl-এর Biology (১৯৯৬) অনুযায়ী ব্রায়োফাইট্স-এর প্রজাতির
সংখ্যা ১৫,৬০০ যার অধিকাংশই স্থলজ, কিছু জলজ। স্থলজ প্রজাতিগুলোরও জীবনচক্র, বিশেষ করে নিষেকক্রিয়া সম্পন্ন
করতে পানির প্রয়োজন হয়। তাই ব্রায়োফাইটা উভচর উদ্ভিদ হিসেবে পরিচিত। বিজ্ঞানী ব্রাউন (Braun) ১৮৬৪ সালে
ব্রায়োফাইটা নামটি ব্যবহারকরেন। Bryophyta বর্গের উদ্ভিদকে Bryophytes (ব্রায়োফাইট্স) বলে। অনেকের মতে, এ
ব্রায়োফাইটা ও টেরিডোফাইটা ২২৫
বিভাগে প্রায় ২৪,০০০ প্রজাতি আছে। বাংলাদেশ থেকে এ বিভাগের অন্তর্গত ৩৪টি গোত্রের ৭৪টি গণের ২৪৮টি প্রজাতি
শনাক্ত করা হয়েছে। ব্রায়োফাইটার সব প্রজাতিতে নিম্নলিখিত সাধারণ বৈশিষ্ট্য বিদ্যমান।"
2,BrTr,BrTr.json,3,ব্রায়োফাইটার বৈশিষ্ট্য (Characteristics of Bryophyta),ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → ব্রায়োফাইটার বৈশিষ্ট্য (Characteristics of Bryophyta),"১। এরা বহুকোষী উদ্ভিদ। এরা অপুষ্পক ও অবীজী অর্থাৎ এদের ফুল, ফল ও বীজ হয় না।
২। এদের দেহ গ্যামিটোফাইট (gametophyte) তথা হ্যাপ্লয়েড। গ্যামিটোফাইট সর্বদাই স্বতন্ত্র ও স্বভোজী উদ্ভিদ।
৩।দেহ থ্যালয়েড অর্থাৎ দেহকে সত্যিকার মূল, কাণ্ড ও পাতায় বিভক্ত করা যায় না, তবে মসজাতীয় উদ্ভিদকে 'নরম
কাণ্ড ও পাতার' মতো অংশে চিহ্নিত করা যায়।
৪। এদের মূল নেই, তবে মূলের পরিবর্তে এককোষী রাইজয়েড (rhizoid) এবং কোনো কোনো প্রজাতিতে বহুকোষী
স্কেল (scale) থাকে।
৫। এদের দেহে কোনো ভাস্কুলার টিস্যু নেই। দেহ প্যারেনকাইমা টিস্যু দিয়ে গঠিত।
৬। এদের জননাঙ্গ বহুকোষী এবং বন্ধ্যাকোষাবরণ দিয়ে আবৃত।
৭। স্ত্রীজননাঙ্গকে আর্কিগোনিয়াম এবং পুংজননাঙ্গকে অ্যান্থেরিডিয়াম বলে। আর্কিগোনিয়ামের আকৃতি ফ্লাস্কের মতো
এবং অ্যান্থেরিডিয়ামের আকৃতি গোলাকার, নাশপাতির মতো, বেলনাকার বা গদাকার হয়ে থাকে।
৮। যৌন জনন উগ্যামাস প্রকৃতির অর্থাৎ বড়ো নিশ্চল স্ত্রী গ্যামিটের (ডিম্বাণু) সাথে ক্ষুদ্র ও সচল পুং গ্যামিটের
(শুক্রাণু) মিলন ঘটে।
৯। শুক্রাণু দ্বিফ্ল্যাজেলাবিশিষ্ট।
১০। নিষেকের জন্য জলীয় মাধ্যমের প্রয়োজন হয়।
১১। এদের ভ্রূণ বহুকোষী, ভ্রূণ স্ত্রী জননাঙ্গের অভ্যন্তরে থাকে।
১২। স্পোরোফাইট গ্যামিটোফাইটের ওপর পূর্ণ বা আংশিক নির্ভরশীল এবং সর্বদাই গ্যামিটোফাইটের সাথে সংযুক্ত
থাকে। উৎপন্ন স্পোর একই আকার আকৃতিবিশিষ্ট অর্থাৎ হোমোষ্পোরাস (homosporus)
১৩। জীবনচক্রে গ্যামিটোফাইট প্রধান এবং স্পোরোফাইট গৌণ।
১৪। স্পোর অঙ্কুরিতহয়ে সরাসরি থ্যালাস গঠন বা প্রোটোনেমা উৎপন্ন করে।"
3,BrTr,BrTr.json,4,ব্রায়োফাইটার শ্রেণি,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → ব্রায়োফাইটার বৈশিষ্ট্য (Characteristics of Bryophyta) → ব্রায়োফাইটার শ্রেণি,"ব্রায়োফাইটা নামটি এসেছে দু'টি গ্রিক শব্দ হতে। গ্রিক Bryon অর্থ মস এবং phyton অর্থ উদ্ভিদ। মস এবং এর সাথে
মিলসম্পন্ন উদ্ভিদসমূহ ব্রায়োফাইটা বিভাগের অন্তর্গত। এ বিভাগের উদ্ভিদসমূহকে তিনটি শ্রেণিতে বিন্যস্ত করা হয়েছে; যথা:
(i) হেপাটিকি (Hepaticae), (ii) অ্যাস্থোসিরোটি (Anthocerotae) এবং (iii) মাসাই (Musci)।"
4,BrTr,BrTr.json,4,ব্রায়োফাইটের আদি বৈশিষ্ট্য,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → ব্রায়োফাইটার বৈশিষ্ট্য (Characteristics of Bryophyta) → ব্রায়োফাইটের আদি বৈশিষ্ট্য,"ব্রায়োফাইটের আদি বৈশিষ্ট্য: (১) উদ্ভিদ হ্যাপ্লয়েড, (২) অধিকাংশই থ্যালয়েড, (৩) এদের সত্যিকার মূল
নেই, (৪) ভাস্কুলার টিস্যু নেই, (৫) এরা হোমোস্পোরাস।"
5,BrTr,BrTr.json,4,ব্রায়োফাইটের উন্নত বৈশিষ্ট্য,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → ব্রায়োফাইটার বৈশিষ্ট্য (Characteristics of Bryophyta) → ব্রায়োফাইটের উন্নত বৈশিষ্ট্য,"ব্রায়োফাইটের উন্নত বৈশিষ্ট্য: Anthoceros উদ্ভিদের ক্যাপসিউলে অবস্থিত কলুমেলা, স্টোম্যাটাযুক্ত এপিডার্মিস,
ক্যাপসিউলের গোড়ায় ভাজক টিস্যুর অবস্থান এগুলো হলো উন্নত বৈশিষ্ট্য।"
6,BrTr,BrTr.json,4,ব্রায়োফাইটা উভচরউদ্ভিদ:,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → ব্রায়োফাইটার বৈশিষ্ট্য (Characteristics of Bryophyta) → ব্রায়োফাইটা উভচরউদ্ভিদ:,"ব্রায়োফাইটা উভচরউদ্ভিদ: এদের অনেক সদস্যই আর্দ্র স্থলজ পরিবেশে জন্মায়। কিন্তু পানির সাহায্য ছাড়া জনন, বৃদ্ধি
ও বিকাশ ঘটে না, তাই এরা উভচর (amphibious) উদ্ভিদ। স্থলজ পরিবেশে জন্মালেও এদের জীবনচক্রের একটি বিশেষ
ধাপ পানির ওপর নির্ভরশীল। অর্থাৎ এদের যৌন জননের জন্য পানির উপস্থিতি একান্তই প্রয়োজন। জীবনচক্র সম্পন্ন করার
সময় এদের শুক্রাণু পানিতে সাঁতার কেটে ডিম্বাণুর নিকট উপস্থিত হয় এবং পানির উপস্থিতিতে নিষেকক্রিয়া সম্পন্ন করে।
এরাও জলজ উদ্ভিদের ন্যায় পানি শোষণ করে এবং দেহে জলজ উদ্ভিদের ন্যায় বায়ুরন্ধ্র থাকে। এ কারণে ব্রায়োফাইটাকে
উভচর উদ্ভিদ বলা হয়ে থাকে।

---"
7,BrTr,BrTr.json,3,Riccia (রিকশিয়া),ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → Riccia (রিকশিয়া),"Riccia, Hepaticae শ্রেণির অন্তর্গত একটি গণ। Riccia উদ্ভিদের বিভিন্ন প্রজাতি বাংলাদেশের প্রায় সর্বত্রই জন্মে থাকে এবং বর্ষাকালে প্রচুর পরিমাণে পাওয়া যায় কিন্তু ক্ষুদ্রাকার বলে আমরা এদেরকে সাধারণত লক্ষ্য করি না, চিনিও না। এদের
সাথে আমরা তেমন পরিচিত নই। Riccia একটি বড়ো গণ। প্রায় ২০০টি প্রজাতি নিয়ে এই গণ গঠিত। এর মধ্যে শুধুমাত্র Riccia fluitans ভাসমান জলজ। Hepaticae শ্রেণির ব্রায়োফাইটস সদস্যদেরকে লিভারওয়ার্ট (Liverwort) বলে।
এদের দেহ অর্থাৎ থ্যালাসের আকৃতি মানুষের লিভার (যকৃত)-এর সাথে কিছুটা মিল সম্পল্প হওয়াতে এরূপ নামকরণ করা হয়েছে। বাংলাদেশ থেকে Riccia গণের ৪৫টি প্রজাতি শনাক্ত করা হয়েছে। নতুন প্রজাতির মধ্যে R. bengalensis, R. dhakensis, R. chittagonensis, R. gangestica, R. personii উল্লেখযোগ্য।"
8,BrTr,BrTr.json,4,আবাসস্থল,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → Riccia (রিকশিয়া) → আবাসস্থল,"আবাসস্থল: Riccia গণের বিভিন্ন প্রজাতি স্যাঁতসেঁতে মাটিতে, আর্দ্র প্রাচীরের গায়ে জন্মে থাকে। নদীতীরে বালিতে Riccia জন্মিতে দেখা যায়। Riccia fluitans ছোটো ছোটো ডোবা-পুকুরের পানিতে ভাসমান অবস্থায় দেখা যায়। বর্ষাকালেই Riccia অধিক জন্মায়।"
9,BrTr,BrTr.json,4,শ্রেণিবিন্যাস,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → Riccia (রিকশিয়া) → শ্রেণিবিন্যাস,"শ্রেণিবিন্যাস
Kingdom: Plantae
Grade: Bryophyta
Division: Bryophyta
Class: Hepaticae
Order: Marchantiales
Family: Ricciaceae
Genus: Riccia"
