question,positive_node_id
ফ্যানেরোগ্যামস (phanerogams) ও ক্রিপ্টোগ্যামস (cryptogams) বলতে কী বোঝায়?,0
"শৈবাল ও ছত্রাককে ""লোয়ার ক্রিপ্টোগ্যামস"" আর ব্রায়োফাইটা/টেরিডোফাইটাকে ""হায়ার ক্রিপ্টোগ্যামস"" বলা হয় কেন?",0
ব্রায়োফাইটা ও টেরিডোফাইটার বাহ্যিক মৌলিক পার্থক্য কী ?,0
থ্যালোফাইটা ও টেরিডোফাইটার মধ্যে সংযোগসৃষ্টিকারী মধ্যবর্তী গ্রুপ কোনটি? কেন?,0
'Bryophyta' শব্দটির উৎপত্তি কী (Bryon ও phyton) এবং এর অর্থ কী?,1
স্থলজ ব্রায়োফাইটেরও নিষেকক্রিয়া সম্পন্ন করতে পানির প্রয়োজন হয়—এ কারণে ব্রায়োফাইটাকে কী বলা হয়?,1
ব্রায়োফাইটে প্রধান উদ্ভিদদেহ কোন জনু এবং এটি হ্যাপ্লয়েড না ডিপ্লয়েড?,2
ব্রায়োফাইটে দেহ থ্যালয়েড বলতে কী বোঝায়?,2
ব্রায়োফাইটে মূলের পরিবর্তে কী থাকে?,2
ব্রায়োফাইটে দেহ প্রধানত কোন টিস্যু দিয়ে গঠিত?,2
ব্রায়োফাইটে স্ত্রীজননাঙ্গ ও পুংজননাঙ্গের নাম কী এবং আর্কিগোনিয়ামের আকৃতি কেমন?,2
ব্রায়োফাইটের জীবনচক্রে কোন পর্যায় প্রধান এবং স্পোরোফাইট গ্যামিটোফাইটের ওপর কেমন নির্ভরশীল থাকে?,2
ব্রায়োফাইটা বিভাগের উদ্ভিদসমূহকে কোন তিনটি শ্রেণিতে বিন্যস্ত করা হয়েছে?,3
ব্রায়োফাইটা নামটি কোন দুটি গ্রিক শব্দ থেকে এসেছে এবং তাদের অর্থ কী?,3
ব্রায়োফাইটের আদি বৈশিষ্ট্যগুলো লিখ।,4
অ্যান্থোসিরোটি (Anthocerotae) শ্রেণির উদ্ভিদে উল্লেখিত উন্নত বৈশিষ্ট্যগুলো কী কী?,5
ব্রায়োফাইটাকে উভচর (amphibious) উদ্ভিদ বলা হয় কেন? যৌন জননে পানির ভূমিকা উল্লেখ কর।,6
ব্রায়োফাইটের শুক্রাণু কীভাবে ডিম্বাণুর কাছে পৌঁছে নিষেক ঘটায়?,6
ব্রায়োফাইটে জলজ উদ্ভিদের মতো কোন বৈশিষ্ট্য দেখা যায় ?,6
Riccia কোন শ্রেণির অন্তর্গত এবং Hepaticae সদস্যদের 'লিভারওয়ার্ট' বলা হয় কেন?,7
Riccia গণে আনুমানিক কতটি প্রজাতি আছে এবং এর মধ্যে কোনটি ভাসমান জলজ?,7
বাংলাদেশে Riccia গণের কতটি প্রজাতি শনাক্ত করা হয়েছে? নতুন প্রজাতির নাম থেকে যে কোনো দুইটি লিখ।,7
Riccia গণের প্রজাতিগুলো সাধারণত কোন কোন স্থানে জন্মায়? (কমপক্ষে ৩টি আবাসস্থল লিখ),8
Riccia fluitans কোথায় এবং কী অবস্থায় দেখা যায়? কোন ঋতুতে Riccia বেশি জন্মায়?,8
Riccia-এর শ্রেণিবিন্যাস Kingdom থেকে Genus পর্যন্ত ক্রমানুসারে লিখ।,9
Riccia থ্যালাসের শাখাবিন্যাস কেমন এবং শাখার শীর্ষে কী বিশেষ বৈশিষ্ট্য থাকে?,10
Riccia থ্যালাসের নিম্নপৃষ্ঠে রাইজয়েড কয় ধরনের এবং সাথে আর কী গঠন থাকে?,10
Riccia থ্যালাসের অভ্যন্তরীণ টিস্যু ওপরের দিকে কোন অঞ্চল এবং নিচের দিকে কোন অঞ্চলে বিভক্ত থাকে?,10
Riccia-তে স্পোরোফাইটিক দশা কেমন এবং 'হোমোস্পোরাস' কথার মানে কী?,10
Riccia থ্যালাসগুলো একত্রে গোলাপের পাপড়ির মতো গোলাকার চক্র করে থাকলে সেই অবস্থাকে কী বলা হয়?,11
Riccia থ্যালাসের ওপর পৃষ্ঠে যে লম্বালম্বি খাঁজ থাকে তার নাম কী?,11
Riccia-র স্কেল ও রাইজয়েডের কাজ কী ?,11
Riccia-র স্পোরোফাইটকে 'সর্বাপেক্ষা সরল' বলা হয় কেন—এটি কী দিয়ে গঠিত এবং কোথায় অবস্থান করে?,11
Riccia থ্যালাসের প্রন্থচ্ছেদে কোন তিনটি প্রধান অঞ্চল দেখা যায়?,12
Riccia-র আত্তীকরণ (photosynthetic) অঞ্চলে 'আত্তীকরণ সূত্র' (assimilatory filament) কী কাজ করে?,12
Riccia-র 'বায়ু প্রকোষ্ঠ' (air chamber) বাইরের সাথে কোন পথে যুক্ত থাকে এবং সেই ছিদ্রপথের নাম কী?,12
Riccia-র সঞ্চয়ী (storage) অঞ্চলের কোষগুলো কেমন এবং সেখানে প্রধানত কী সঞ্চিত থাকে?,12
Riccia-র নিম্নত্বক থেকে কী কী গঠন বের হয় এবং রাইজয়েড কয় ধরনের?,12
Riccia-তে থ্যালাসের পেছনের অংশ মরে গেলে অঙ্গজ জনন কীভাবে ঘটে?,13
Riccia-র অঙ্গজ জননে 'গিমা (gemma)' ও 'টিউবার (tuber)' কোথায় তৈরি হয় এবং কী ভূমিকা রাখে?,13
Riccia-র যৌন জননে কোন জননাঙ্গে শুক্রাণু এবং কোন জননাঙ্গে ডিম্বাণু উৎপন্ন হয়? শুক্রাণুর বৈশিষ্ট্য কী?,13
